date,BIOMASSA,BIOMASSA_COGERACAO,BIOMASSA_OUTROS,CARVAO,CONSUMO,CONSUMO_ARMAZENAMENTO,CONSUMO_BATERIAS,CONSUMO_BOMBAGEM,CORRIGIDO_TEMPERATURA,EOLICA,EXPORTACAO,GAS_NATURAL,GAS_NATURAL_CICLO_COMBINADO,GAS_NATURAL_COGERACAO,HIDRICA,IMPORTACAO,INJECAO_BATERIAS,ONDAS,OUTRA_TERMICA,OUTRA_TERMICA_COGERACAO,OUTRA_TERMICA_OUTROS,PRODUCAO_ARMAZENAMENTO,PRODUCAO_BOMBAGEM,PRODUCAO_NAO_RENOVAVEL,PRODUCAO_RENOVAVEL,PRODUCAO_TOTAL,SALDO_IMPORTADOR,SOLAR
2021-05-21,10.0,5.0,5.0,0.0,133.0,5.0,0.0,5.0,133.0,45.0,7.0,42.0,30.0,12.0,10.0,26.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,42.0,71.0,119.0,19.0,6.0
2021-05-22,10.0,5.0,5.0,0.0,117.0,5.0,0.0,5.0,117.0,49.0,5.0,9.0,0.0,10.0,16.0,33.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,10.0,80.0,95.0,27.0,5.0
2021-05-23,9.0,5.0,5.0,0.0,108.0,13.0,0.0,13.0,108.0,59.0,3.0,8.0,0.0,8.0,9.0,30.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,8.0,84.0,95.0,27.0,7.0
2021-05-24,9.0,4.0,5.0,0.0,129.0,13.0,0.0,13.0,129.0,47.0,8.0,21.0,9.0,12.0,16.0,46.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,22.0,77.0,104.0,38.0,5.0
2021-05-25,8.0,3.0,5.0,0.0,133.0,0.0,0.0,0.0,133.0,35.0,13.0,44.0,32.0,12.0,19.0,23.0,0.0,0.0,1.0,0.0,1.0,10.0,10.0,44.0,68.0,123.0,10.0,6.0
2021-05-26,8.0,3.0,5.0,5.0,134.0,0.0,0.0,0.0,134.0,13.0,8.0,50.0,38.0,12.0,24.0,22.0,0.0,0.0,1.0,0.0,1.0,12.0,12.0,57.0,51.0,120.0,14.0,6.0
2021-05-27,9.0,4.0,5.0,12.0,134.0,0.0,0.0,0.0,134.0,11.0,11.0,39.0,27.0,12.0,54.0,10.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,52.0,78.0,135.0,-1.0,4.0
2021-05-28,10.0,5.0,5.0,11.0,134.0,0.0,0.0,0.0,133.0,14.0,7.0,49.0,37.0,12.0,30.0,18.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,62.0,60.0,123.0,11.0,6.0
2021-05-29,10.0,5.0,5.0,1.0,119.0,0.0,0.0,0.0,119.0,18.0,1.0,31.0,22.0,9.0,17.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.0,51.0,85.0,34.0,6.0
2021-05-30,10.0,5.0,5.0,0.0,110.0,3.0,0.0,3.0,109.0,11.0,4.0,26.0,18.0,8.0,15.0,47.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,26.0,42.0,70.0,43.0,6.0
2021-05-31,10.0,5.0,5.0,5.0,132.0,0.0,0.0,0.0,132.0,11.0,3.0,51.0,39.0,12.0,24.0,27.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,56.0,50.0,109.0,23.0,5.0
2021-06-01,10.0,5.0,5.0,6.0,136.0,0.0,0.0,0.0,136.0,9.0,2.0,57.0,46.0,12.0,25.0,27.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,64.0,47.0,111.0,25.0,3.0
2021-06-02,10.0,5.0,5.0,2.0,134.0,2.0,0.0,2.0,134.0,17.0,3.0,59.0,47.0,12.0,20.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,62.0,52.0,114.0,22.0,6.0
2021-06-03,10.0,5.0,5.0,0.0,114.0,8.0,0.0,8.0,115.0,38.0,9.0,51.0,42.0,9.0,10.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,52.0,64.0,116.0,6.0,7.0
2021-06-04,10.0,5.0,5.0,0.0,124.0,1.0,0.0,1.0,124.0,33.0,14.0,63.0,52.0,11.0,14.0,8.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,64.0,63.0,131.0,-7.0,7.0
2021-06-05,10.0,5.0,5.0,0.0,115.0,3.0,0.0,3.0,115.0,27.0,6.0,54.0,45.0,9.0,13.0,9.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,54.0,57.0,115.0,3.0,7.0
2021-06-06,10.0,5.0,5.0,0.0,109.0,14.0,0.0,14.0,110.0,16.0,2.0,19.0,11.0,8.0,8.0,66.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,19.0,40.0,60.0,64.0,7.0
2021-06-07,10.0,5.0,5.0,0.0,132.0,4.0,0.0,4.0,132.0,17.0,9.0,59.0,48.0,11.0,18.0,27.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,60.0,51.0,117.0,19.0,7.0
2021-06-08,10.0,5.0,5.0,0.0,136.0,0.0,0.0,0.0,136.0,23.0,14.0,66.0,54.0,11.0,24.0,13.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,66.0,63.0,136.0,-1.0,7.0
2021-06-09,10.0,5.0,5.0,0.0,137.0,0.0,0.0,0.0,137.0,27.0,13.0,63.0,52.0,11.0,27.0,12.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,64.0,70.0,138.0,-1.0,6.0
2021-06-10,10.0,5.0,5.0,1.0,121.0,0.0,0.0,0.0,121.0,21.0,19.0,57.0,48.0,9.0,35.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,59.0,73.0,133.0,-13.0,7.0
2021-06-11,10.0,5.0,5.0,3.0,130.0,1.0,0.0,1.0,129.0,31.0,12.0,59.0,48.0,11.0,17.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,63.0,64.0,127.0,4.0,6.0
2021-06-12,10.0,5.0,5.0,0.0,120.0,5.0,0.0,5.0,119.0,36.0,3.0,28.0,19.0,9.0,17.0,29.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,29.0,69.0,99.0,26.0,5.0
2021-06-13,9.0,4.0,5.0,0.0,112.0,16.0,0.0,16.0,111.0,27.0,6.0,29.0,22.0,8.0,15.0,47.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,30.0,57.0,88.0,40.0,6.0
2021-06-14,9.0,4.0,4.0,0.0,136.0,1.0,0.0,1.0,134.0,11.0,16.0,68.0,56.0,11.0,41.0,7.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,68.0,68.0,145.0,-8.0,6.0
2021-06-15,9.0,4.0,5.0,5.0,142.0,0.0,0.0,0.0,138.0,24.0,24.0,76.0,65.0,11.0,36.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,82.0,74.0,163.0,-21.0,5.0
2021-06-16,10.0,5.0,5.0,8.0,140.0,0.0,0.0,0.0,138.0,17.0,22.0,82.0,70.0,11.0,30.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,90.0,61.0,152.0,-12.0,4.0
2021-06-17,9.0,5.0,5.0,6.0,139.0,0.0,0.0,0.0,138.0,14.0,11.0,82.0,71.0,12.0,26.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,89.0,53.0,143.0,-4.0,3.0
