date,consommation,eolien,solaire,hydraulique_fil_eau_eclusee,hydraulique_lacs,hydraulique_step_turbinage,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,fioul_tac,fioul_cogen,fioul_autres,charbon,nucleaire,bioenergies_dechets,bioenergies_biogaz,bioenergies_biomasse,ech_physiques,taux_co2
2021-05-31,84492.0,10192.0,0.5,11297.5,4466.0,859.0,78.5,416.5,1954.5,79.0,0.0,140.0,8.0,42.0,78336.0,927.5,667.0,583.5,-24818.0,27.5
2021-06-01,1085469.5,88630.5,54730.0,136072.5,57664.0,12149.5,892.0,5047.0,26483.5,1103.0,1234.0,1679.5,63.5,423.0,941141.5,10588.5,7992.5,7327.0,-257690.5,358.5
2021-06-02,1093273.5,63573.0,45369.5,137162.0,55874.5,12482.0,874.5,4965.5,11817.5,1709.5,0.0,1682.5,59.0,304.5,950948.5,10621.0,8056.5,7445.0,-204035.5,265.0
2021-06-03,1094528.5,29498.5,50195.0,135378.0,57652.0,14897.0,1109.5,5502.0,14384.0,1635.0,0.0,1616.0,54.5,316.0,939395.5,10798.0,7960.0,7479.5,-171069.0,292.5
2021-06-04,1081319.0,41995.0,35346.5,144818.0,61732.5,17924.5,1056.0,5761.0,42506.5,1140.0,0.0,1643.5,54.0,284.0,946171.5,10876.0,8074.5,7516.5,-235325.5,452.5
2021-06-05,956294.0,48778.5,57333.0,147276.0,56381.5,7566.0,896.0,6075.5,17554.0,828.0,0.0,1668.5,52.0,286.0,912668.0,11313.5,8098.0,7354.5,-309355.0,314.5
2021-06-06,912495.5,38498.5,54756.0,143035.0,51314.0,8999.0,928.5,5885.0,12955.0,821.5,0.0,1646.0,53.5,290.5,904440.0,11218.0,8125.0,7817.0,-308811.0,289.0
2021-06-07,1068395.0,26890.5,55427.0,142608.5,59263.5,16081.5,164.0,6702.0,57882.0,799.0,0.0,1662.5,56.5,289.5,932688.0,10840.5,8101.0,7938.0,-246945.0,544.5
2021-06-08,1091222.5,24046.5,64751.5,145675.5,56536.5,19458.0,0.0,7803.0,61379.5,1189.5,0.0,1702.5,80.0,272.0,952082.0,10457.0,7971.0,7551.0,-260546.0,564.5
2021-06-09,1101602.0,25232.0,65427.5,146153.0,53576.0,19022.0,0.0,8427.0,49921.5,1741.0,0.0,1729.5,52.5,265.5,949131.0,10349.0,8045.0,7189.0,-236412.0,506.0
2021-06-10,1107304.5,24895.5,65768.5,145275.0,56234.5,15745.5,0.0,8296.0,57813.5,1771.5,0.0,1661.0,50.0,266.0,947678.5,10141.0,8143.0,7130.0,-231636.5,551.5
2021-06-11,1100042.0,32857.5,64526.0,146864.0,62656.5,12880.5,0.0,7596.0,44727.0,1816.5,100.0,1669.5,55.0,266.5,941174.0,10609.0,8253.0,7608.5,-229400.5,475.5
2021-06-12,980974.0,38304.0,59991.0,138878.0,47992.0,7310.5,452.5,6420.5,6039.0,1295.0,1328.0,1728.0,51.5,98.0,891073.5,10560.5,8201.0,7531.5,-212145.5,260.5
2021-06-13,930887.0,46317.0,67092.0,131640.5,43971.0,9594.0,588.5,6317.0,2242.5,827.5,0.0,1703.5,54.5,46.0,814536.5,9899.0,8184.0,7399.5,-187087.5,217.0
2021-06-14,1107030.0,32928.5,71148.0,133964.5,58905.0,19810.0,1789.5,8484.0,35476.0,750.0,2636.0,1682.5,85.5,45.5,915104.5,9738.0,8039.0,7232.0,-191664.5,457.0
2021-06-15,1139088.0,20186.5,69018.0,125645.0,53721.5,18085.0,613.5,9483.5,54044.0,879.5,0.0,1668.0,51.5,40.5,913768.5,10066.5,8076.5,7206.5,-145484.0,549.0
2021-06-16,1153240.0,33507.0,58818.5,129158.0,54744.5,16416.5,883.0,9711.5,56825.5,826.5,1211.5,1674.5,51.5,40.5,909888.5,10099.0,8053.5,7252.0,-134573.5,587.5
2021-06-17,1136543.0,70576.5,36659.0,132610.0,60258.0,16220.5,2289.0,9725.0,48327.5,893.5,4026.5,1545.0,49.5,36.5,889916.5,10244.5,7997.0,6970.0,-149701.0,579.5
2021-06-18,1112293.5,96280.0,55459.0,138744.0,59570.0,19456.0,924.0,8947.0,40065.0,1139.0,503.0,1534.5,64.5,19.5,863033.0,9728.0,8150.5,7048.5,-189197.5,457.0
