datetime,Carbón,Ciclo combinado,Cogeneración,Eólica,Fuel + Gas,Generación total,Hidroeólica,Hidráulica,Motores diésel,Nuclear,Otras renovables,Residuos no renovables,Residuos renovables,Solar fotovoltaica,Solar térmica,Turbina de gas,Turbina de vapor
2021-05-21,10704.287,73001.855,74625.031,155894.865,,644980.744,143.171,73883.825,5279.083,119965.517,12369.13,5130.642,1018.672,83705.87,25501.607,870.342,2886.847
2021-05-22,10774.967,66884.692,70269.685,127623.325,,589408.24,140.081,77443.693,4888.217,120171.87,13214.733,5166.8165,1005.4995,72179.886,16774.223,827.658,2042.894
2021-05-23,11510.497,71942.04,69718.071,128453.671,,549018.6790000001,134.624,55731.601,4809.192,120347.046,13563.27,5146.533,1043.299,50523.534,13002.416,967.95,2124.935
2021-05-24,16967.108,54120.475,73956.059,182665.421,,646010.5149999999,140.599,63902.7,5541.004,120062.731,13433.646,5164.7735,1006.8415,83806.643,22112.34,925.268,2204.906
2021-05-25,17693.93,82573.52,74239.31,141667.5,,647615.5650000001,142.516,68739.725,5671.966,120118.612,13251.959,5367.524,1023.002,87685.132,26520.215,738.709,2181.945
2021-05-26,18011.284,106066.058,75222.958,93100.86,,627134.0680000001,141.28,77567.628,6098.165,119857.277,12064.741,5727.1555,1452.6125,81638.392,26341.694,1185.641,2658.322
2021-05-27,19295.598,141200.99,75594.232,55471.817,,610274.9819999998,116.016,117165.713,6789.128,119855.789,11681.807,5636.3515,1618.5025,48993.462,2727.891,1289.657,2838.028
2021-05-28,13542.253,154471.865,77205.361,51602.841,,623845.9300000002,80.936,83942.895,6847.645,119407.712,12345.322,5329.648,1915.498,73885.481,18938.429,1320.661,3009.383
2021-05-29,12391.175,91001.828,73545.656,85325.931,,599828.28,102.506,79799.272,6105.356,116356.8,12422.871,5566.1975,2301.5045,85134.78,27250.319,373.081,2151.003
2021-05-30,12267.587,70580.44,69604.411,122685.258,,572466.2219999998,130.151,63533.014,5737.931,119008.794,12365.994,5432.2625,2206.7875,70784.001,16323.095,389.64,1416.856
2021-05-31,13496.427,130188.38,72154.801,112853.948,,632942.263,94.745,78971.533,6496.507,119147.257,11557.324,5402.947,2055.325,65915.881,12514.539,433.582,1659.067
2021-06-01,17397.4,143732.22,73555.973,106748.025,,644331.097,57.24,82336.432,7181.066,119169.172,11273.105,5184.116,2041.102,60653.924,12314.624,957.234,1729.464
2021-06-02,20859.246,166134.4,73674.021,63855.594,,659945.8959999998,45.191,75439.243,7329.022,119101.163,11673.338,5168.671,2172.067,86832.996,24339.173,1347.608,1974.163
2021-06-03,20219.427,120888.963,73232.916,127889.54,,655153.0469999999,54.286,59178.596,6674.02,119155.603,11486.956,5203.106,2233.288,80467.74,26167.44,587.509,1713.657
2021-06-04,19388.118,126720.495,76869.361,109595.095,,635302.9429999999,106.447,67194.245,6230.259,119215.241,11559.514,5423.729,2237.291,69353.372,19233.558,701.058,1475.16
2021-06-05,15493.724,109188.332,70734.874,94059.976,,567118.2099999998,105.941,62771.704,6048.563,119271.64,11960.806,6580.1655,2255.6545,55434.591,11566.834,275.905,1369.5
2021-06-06,14504.315,71173.251,67393.38,128933.698,,600446.1039999999,102.55,54639.459,5951.014,119398.994,12066.709,6505.943,2206.009,90738.724,25471.222,766.581,594.255
2021-06-07,15306.938,140166.848,72349.748,105145.933,,662617.589,97.199,58054.534,7690.648,118503.819,11985.018,6600.2565,2245.5885,91257.876,30850.036,1551.166,811.981
2021-06-08,14202.004,152576.962,72903.672,75613.556,,648088.096,30.568,64629.745,8292.964,118709.595,11216.577,6900.316,2477.354,88352.957,29948.355,1329.892,903.579
2021-06-09,18923.351,132567.399,72004.991,102590.424,,657503.9770000001,111.886,68141.277,7544.248,118584.671,11326.439,6916.632,2491.518,86996.899,27628.264,1008.602,667.376
2021-06-10,16210.912,138137.921,72539.107,111750.341,,666221.9879999999,80.238,85042.439,7454.089,97185.163,11274.504,6754.994,2375.608,87606.534,27471.529,1623.74,714.869
