"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|ES","Without sequence","134.49","",""
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|ES","Without sequence","131.59","",""
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|ES","Without sequence","131.49","",""
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|ES","Without sequence","131.42","",""
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|ES","Without sequence","120.49","",""
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|ES","Without sequence","112.3","",""
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|ES","Without sequence","112.3","",""
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|ES","Without sequence","111.88","",""
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|ES","Without sequence","112.09","",""
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|ES","Without sequence","94.99","",""
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|ES","Without sequence","35.0","",""
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|ES","Without sequence","20.59","",""
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|ES","Without sequence","28.11","",""
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|ES","Without sequence","30.0","",""
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|ES","Without sequence","21.5","",""
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|ES","Without sequence","10.68","",""
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|ES","Without sequence","72.0","",""
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|ES","Without sequence","125.49","",""
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|ES","Without sequence","149.72","",""
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|ES","Without sequence","150.67","",""
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|ES","Without sequence","152.99","",""
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|ES","Without sequence","151.69","",""
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|ES","Without sequence","147.75","",""
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|ES","Without sequence","133.06","",""
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|ES","Without sequence","137.12","",""
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|ES","Without sequence","123.03","",""
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|ES","Without sequence","100.2","",""
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|ES","Without sequence","99.82","",""
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|ES","Without sequence","99.82","",""
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|ES","Without sequence","100.08","",""
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|ES","Without sequence","128.44","",""
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|ES","Without sequence","143.96","",""
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|ES","Without sequence","152.92","",""
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|ES","Without sequence","152.16","",""
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|ES","Without sequence","129.04","",""
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|ES","Without sequence","125.7","",""
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|ES","Without sequence","125.72","",""
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|ES","Without sequence","119.3","",""
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|ES","Without sequence","124.65","",""
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|ES","Without sequence","130.11","",""
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|ES","Without sequence","139.5","",""
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|ES","Without sequence","153.4","",""
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|ES","Without sequence","159.18","",""
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|ES","Without sequence","160.99","",""
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|ES","Without sequence","161.1","",""
"02/01/2025 21:00:00 - 02/01/2025 22:00:00","BZN|ES","Without sequence","157.88","",""
"02/01/2025 22:00:00 - 02/01/2025 23:00:00","BZN|ES","Without sequence","152.44","",""
"02/01/2025 23:00:00 - 03/01/2025 00:00:00","BZN|ES","Without sequence","140.0","",""
"03/01/2025 00:00:00 - 03/01/2025 01:00:00","BZN|ES","Without sequence","121.52","",""
"03/01/2025 01:00:00 - 03/01/2025 02:00:00","BZN|ES","Without sequence","104.9","",""
"03/01/2025 02:00:00 - 03/01/2025 03:00:00","BZN|ES","Without sequence","93.94","",""
"03/01/2025 03:00:00 - 03/01/2025 04:00:00","BZN|ES","Without sequence","91.1","",""
"03/01/2025 04:00:00 - 03/01/2025 05:00:00","BZN|ES","Without sequence","88.46","",""
"03/01/2025 05:00:00 - 03/01/2025 06:00:00","BZN|ES","Without sequence","92.25","",""
"03/01/2025 06:00:00 - 03/01/2025 07:00:00","BZN|ES","Without sequence","100.14","",""
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|ES","Without sequence","126.0","",""
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|ES","Without sequence","141.2","",""
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|ES","Without sequence","138.0","",""
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|ES","Without sequence","130.52","",""
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|ES","Without sequence","123.2","",""
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|ES","Without sequence","113.51","",""
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|ES","Without sequence","107.6","",""
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|ES","Without sequence","105.88","",""
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|ES","Without sequence","110.22","",""
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|ES","Without sequence","123.2","",""
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|ES","Without sequence","141.2","",""
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|ES","Without sequence","149.62","",""
"03/01/2025 19:00:00 - 03/01/2025 20:00:00","BZN|ES","Without sequence","151.25","",""
"03/01/2025 20:00:00 - 03/01/2025 21:00:00","BZN|ES","Without sequence","151.25","",""
"03/01/2025 21:00:00 - 03/01/2025 22:00:00","BZN|ES","Without sequence","149.12","",""
"03/01/2025 22:00:00 - 03/01/2025 23:00:00","BZN|ES","Without sequence","145.58","",""
"03/01/2025 23:00:00 - 04/01/2025 00:00:00","BZN|ES","Without sequence","136.42","",""
"04/01/2025 00:00:00 - 04/01/2025 01:00:00","BZN|ES","Without sequence","109.06","",""
