"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","Without sequence","0.1","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","Without sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","Without sequence","0.0","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","Without sequence","-0.01","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","Without sequence","-0.03","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","Without sequence","-0.02","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","Without sequence","-0.04","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","Without sequence","-0.01","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","Without sequence","0.0","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","Without sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","Without sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","Without sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","Without sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","Without sequence","2.06","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FR","Without sequence","1.73","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|FR","Without sequence","5.72","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|FR","Without sequence","18.49","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|FR","Without sequence","37.0","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|FR","Without sequence","47.5","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|FR","Without sequence","54.97","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|FR","Without sequence","48.61","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|FR","Without sequence","24.88","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|FR","Without sequence","35.89","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|FR","Without sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|FR","Without sequence","19.49","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|FR","Without sequence","16.12","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|FR","Without sequence","0.06","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|FR","Without sequence","0.02","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|FR","Without sequence","0.01","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|FR","Without sequence","0.09","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|FR","Without sequence","20.74","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|FR","Without sequence","44.7","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|FR","Without sequence","53.78","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|FR","Without sequence","54.23","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|FR","Without sequence","50.0","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|FR","Without sequence","52.2","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|FR","Without sequence","45.0","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|FR","Without sequence","43.0","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|FR","Without sequence","43.0","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|FR","Without sequence","40.99","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|FR","Without sequence","43.66","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|FR","Without sequence","52.2","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|FR","Without sequence","57.77","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|FR","Without sequence","62.45","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|FR","Without sequence","58.0","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|FR","Without sequence","47.9","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|FR","Without sequence","41.67","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|FR","Without sequence","21.42","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|FR","Without sequence","1.29","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|FR","Without sequence","0.1","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|FR","Without sequence","-0.01","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|FR","Without sequence","-0.05","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|FR","Without sequence","-0.05","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|FR","Without sequence","0.1","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|FR","Without sequence","4.78","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|FR","Without sequence","41.04","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|FR","Without sequence","61.92","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|FR","Without sequence","65.06","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|FR","Without sequence","59.67","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|FR","Without sequence","56.28","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|FR","Without sequence","55.0","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|FR","Without sequence","55.42","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|FR","Without sequence","61.0","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|FR","Without sequence","66.03","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|FR","Without sequence","67.52","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|FR","Without sequence","81.06","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|FR","Without sequence","85.07","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|FR","Without sequence","81.66","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|FR","Without sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|FR","Without sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|FR","Without sequence","65.0","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|FR","Without sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|FR","Without sequence","57.3","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|FR","Without sequence","50.46","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|FR","Without sequence","40.0","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|FR","Without sequence","25.48","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|FR","Without sequence","35.0","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|FR","Without sequence","57.73","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|FR","Without sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|FR","Without sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|FR","Without sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|FR","Without sequence","94.2","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|FR","Without sequence","91.54","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|FR","Without sequence","89.95","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|FR","Without sequence","86.21","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|FR","Without sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|FR","Without sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|FR","Without sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|FR","Without sequence","99.5","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|FR","Without sequence","100.0","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|FR","Without sequence","102.57","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|FR","Without sequence","100.7","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|FR","Without sequence","92.65","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|FR","Without sequence","81.07","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|FR","Without sequence","78.43","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|FR","Without sequence","86.89","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|FR","Without sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|FR","Without sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|FR","Without sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|FR","Without sequence","70.67","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|FR","Without sequence","61.1","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|FR","Without sequence","68.26","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|FR","Without sequence","75.0","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|FR","Without sequence","88.35","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|FR","Without sequence","90.88","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|FR","Without sequence","95.37","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|FR","Without sequence","96.37","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|FR","Without sequence","98.24","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|FR","Without sequence","92.61","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|FR","Without sequence","92.4","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|FR","Without sequence","97.46","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|FR","Without sequence","100.97","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|FR","Without sequence","103.79","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|FR","Without sequence","108.03","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|FR","Without sequence","108.76","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|FR","Without sequence","104.41","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|FR","Without sequence","100.52","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|FR","Without sequence","94.41","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|FR","Without sequence","94.92","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|FR","Without sequence","86.8","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|FR","Without sequence","82.25","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|FR","Without sequence","80.2","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|FR","Without sequence","76.13","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|FR","Without sequence","73.01","",""
