"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|PT","Without sequence","145.86","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|PT","Without sequence","114.9","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|PT","Without sequence","113.87","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|PT","Without sequence","97.8","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|PT","Without sequence","97.8","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|PT","Without sequence","95.74","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|PT","Without sequence","97.8","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|PT","Without sequence","97.8","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|PT","Without sequence","97.8","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|PT","Without sequence","70.05","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|PT","Without sequence","76.79","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|PT","Without sequence","84.1","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|PT","Without sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|PT","Without sequence","96.8","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|PT","Without sequence","97.8","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|PT","Without sequence","98.52","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|PT","Without sequence","114.5","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|PT","Without sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|PT","Without sequence","177.22","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|PT","Without sequence","187.52","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|PT","Without sequence","189.26","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|PT","Without sequence","190.81","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|PT","Without sequence","188.39","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|PT","Without sequence","167.26","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|PT","Without sequence","133.21","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|PT","Without sequence","115.87","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|PT","Without sequence","110.52","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|PT","Without sequence","113.0","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|PT","Without sequence","115.87","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|PT","Without sequence","110.52","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|PT","Without sequence","115.87","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|PT","Without sequence","129.6","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|PT","Without sequence","115.87","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|PT","Without sequence","115.87","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|PT","Without sequence","113.0","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|PT","Without sequence","115.87","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|PT","Without sequence","110.0","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|PT","Without sequence","110.52","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|PT","Without sequence","115.87","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|PT","Without sequence","109.8","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|PT","Without sequence","115.87","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|PT","Without sequence","159.79","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|PT","Without sequence","194.25","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|PT","Without sequence","198.0","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|PT","Without sequence","208.38","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|PT","Without sequence","209.1","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|PT","Without sequence","191.36","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|PT","Without sequence","178.0","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|PT","Without sequence","181.5","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|PT","Without sequence","160.72","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|PT","Without sequence","154.64","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|PT","Without sequence","149.86","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|PT","Without sequence","144.49","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|PT","Without sequence","148.86","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|PT","Without sequence","153.77","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|PT","Without sequence","160.72","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|PT","Without sequence","189.26","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|PT","Without sequence","183.54","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|PT","Without sequence","160.72","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|PT","Without sequence","152.2","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|PT","Without sequence","148.86","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|PT","Without sequence","142.04","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|PT","Without sequence","127.38","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|PT","Without sequence","112.87","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|PT","Without sequence","126.8","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|PT","Without sequence","148.49","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|PT","Without sequence","175.06","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|PT","Without sequence","180.0","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|PT","Without sequence","153.77","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|PT","Without sequence","141.94","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|PT","Without sequence","114.11","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|PT","Without sequence","100.36","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|PT","Without sequence","125.47","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|PT","Without sequence","115.55","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|PT","Without sequence","113.29","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|PT","Without sequence","105.81","",""
